filename,date,site,device_id,biome,species_richness,pseudo_species_total_abundance,pseudo_species_shannon,pseudo_species_simpson,pseudo_species_inv_simpson,pseudo_species_gini_simpson
SM303779__0__20210428_025900_1,2021-04-28 02:59:00,site_223,SM3,Forest - Temperate,0,,,,,
SM303779__0__20210428_025900_3,2021-04-28 03:19:00,site_223,SM3,Forest - Temperate,0,,,,,
SM303779__0__20210428_025900_5,2021-04-28 03:39:00,site_223,SM3,Forest - Temperate,0,,,,,
SM303779__0__20210428_035904_1,2021-04-28 03:59:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210428_035904_3,2021-04-28 04:19:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210428_035904_5,2021-04-28 04:39:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210428_045904_1,2021-04-28 04:59:00,site_223,SM3,Forest - Temperate,7,,,,,
SM303779__0__20210428_045904_3,2021-04-28 05:19:00,site_223,SM3,Forest - Temperate,6,,,,,
SM303779__0__20210428_045904_5,2021-04-28 05:39:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210428_055904_1,2021-04-28 05:59:00,site_223,SM3,Forest - Temperate,5,,,,,
SM303779__0__20210428_055904_3,2021-04-28 06:19:00,site_223,SM3,Forest - Temperate,6,,,,,
SM303779__0__20210428_055904_5,2021-04-28 06:39:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210428_065904_1,2021-04-28 06:59:00,site_223,SM3,Forest - Temperate,2,,,,,
SM303779__0__20210428_065904_3,2021-04-28 07:19:00,site_223,SM3,Forest - Temperate,2,,,,,
SM303779__0__20210428_065904_5,2021-04-28 07:39:00,site_223,SM3,Forest - Temperate,2,,,,,
SM303779__0__20210428_075904_1,2021-04-28 07:59:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210428_075904_3,2021-04-28 08:19:00,site_223,SM3,Forest - Temperate,5,,,,,
SM303779__0__20210428_075904_5,2021-04-28 08:39:00,site_223,SM3,Forest - Temperate,2,,,,,
SM303779__0__20210526_021300_1,2021-05-26 02:13:00,site_223,SM3,Forest - Temperate,0,,,,,
SM303779__0__20210526_021300_3,2021-05-26 02:33:00,site_223,SM3,Forest - Temperate,0,,,,,
SM303779__0__20210526_021300_5,2021-05-26 02:53:00,site_223,SM3,Forest - Temperate,1,,,,,
SM303779__0__20210526_031306_1,2021-05-26 03:13:00,site_223,SM3,Forest - Temperate,0,,,,,
SM303779__0__20210526_031306_3,2021-05-26 03:33:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210526_031306_5,2021-05-26 03:53:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210526_041306_1,2021-05-26 04:13:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210526_041306_3,2021-05-26 04:33:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210526_041306_5,2021-05-26 04:53:00,site_223,SM3,Forest - Temperate,3,,,,,
SM303779__0__20210526_051306_1,2021-05-26 05:13:00,site_223,SM3,Forest - Temperate,5,,,,,
SM303779__0__20210526_051306_3,2021-05-26 05:33:00,site_223,SM3,Forest - Temperate,5,,,,,
SM303779__0__20210526_051306_5,2021-05-26 05:53:00,site_223,SM3,Forest - Temperate,2,,,,,
SM303779__0__20210526_061306_1,2021-05-26 06:13:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210526_061306_3,2021-05-26 06:33:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210526_061306_5,2021-05-26 06:53:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210526_071306_1,2021-05-26 07:13:00,site_223,SM3,Forest - Temperate,6,,,,,
SM303779__0__20210526_071306_3,2021-05-26 07:33:00,site_223,SM3,Forest - Temperate,4,,,,,
SM303779__0__20210526_071306_5,2021-05-26 07:53:00,site_223,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_030300_1,2021-04-26 03:03:00,site_205,SM3,Forest - Temperate,0,,,,,
SM300857__0__20210426_030300_3,2021-04-26 03:23:00,site_205,SM3,Forest - Temperate,0,,,,,
SM300857__0__20210426_030300_5,2021-04-26 03:43:00,site_205,SM3,Forest - Temperate,0,,,,,
SM300857__0__20210426_040306_1,2021-04-26 04:03:00,site_205,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210426_040306_3,2021-04-26 04:23:00,site_205,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210426_040306_5,2021-04-26 04:43:00,site_205,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_050306_1,2021-04-26 05:03:00,site_205,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_050306_3,2021-04-26 05:23:00,site_205,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_050306_5,2021-04-26 05:43:00,site_205,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_060306_1,2021-04-26 06:03:00,site_205,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210426_060306_3,2021-04-26 06:23:00,site_205,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210426_060306_5,2021-04-26 06:43:00,site_205,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_070306_1,2021-04-26 07:03:00,site_205,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210426_070306_3,2021-04-26 07:23:00,site_205,SM3,Forest - Temperate,3,,,,,
SM300857__0__20210426_070306_5,2021-04-26 07:43:00,site_205,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210426_080306_1,2021-04-26 08:03:00,site_205,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210426_080306_3,2021-04-26 08:23:00,site_205,SM3,Forest - Temperate,1,,,,,
SM300857__0__20210426_080306_5,2021-04-26 08:43:00,site_205,SM3,Forest - Temperate,1,,,,,
SM303718__0__20210521_021900_1,2021-05-21 02:19:00,site_205,SM3,Forest - Temperate,1,,,,,
SM303718__0__20210521_021900_3,2021-05-21 02:39:00,site_205,SM3,Forest - Temperate,0,,,,,
SM303718__0__20210521_021900_5,2021-05-21 02:59:00,site_205,SM3,Forest - Temperate,0,,,,,
SM303718__0__20210521_031904_1,2021-05-21 03:19:00,site_205,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210521_031904_3,2021-05-21 03:39:00,site_205,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210521_031904_5,2021-05-21 03:59:00,site_205,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210521_041904_1,2021-05-21 04:19:00,site_205,SM3,Forest - Temperate,4,,,,,
SM303718__0__20210521_041904_3,2021-05-21 04:39:00,site_205,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210521_041904_5,2021-05-21 04:59:00,site_205,SM3,Forest - Temperate,4,,,,,
SM303718__0__20210521_051904_1,2021-05-21 05:19:00,site_205,SM3,Forest - Temperate,5,,,,,
SM303718__0__20210521_051904_3,2021-05-21 05:39:00,site_205,SM3,Forest - Temperate,5,,,,,
SM303718__0__20210521_051904_5,2021-05-21 05:59:00,site_205,SM3,Forest - Temperate,5,,,,,
SM303718__0__20210521_061904_1,2021-05-21 06:19:00,site_205,SM3,Forest - Temperate,5,,,,,
SM303718__0__20210521_061904_3,2021-05-21 06:39:00,site_205,SM3,Forest - Temperate,2,,,,,
SM303718__0__20210521_061904_5,2021-05-21 06:59:00,site_205,SM3,Forest - Temperate,4,,,,,
SM303718__0__20210521_071904_1,2021-05-21 07:19:00,site_205,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210521_071904_3,2021-05-21 07:39:00,site_205,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210521_071904_5,2021-05-21 07:59:00,site_205,SM3,Forest - Temperate,4,,,,,
SM303733_20210427_030100_1,2021-04-27 03:01:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733_20210427_030100_3,2021-04-27 03:21:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733_20210427_030100_5,2021-04-27 03:41:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733_20210427_040106_1,2021-04-27 04:01:00,site_214,SM3,Forest - Temperate,1,,,,,
SM303733_20210427_040106_3,2021-04-27 04:21:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303733_20210427_040106_5,2021-04-27 04:41:00,site_214,SM3,Forest - Temperate,2,,,,,
SM303733_20210427_050106_1,2021-04-27 05:01:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733_20210427_050106_3,2021-04-27 05:21:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733_20210427_050106_5,2021-04-27 05:41:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303733_20210427_060106_1,2021-04-27 06:01:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303733_20210427_060106_3,2021-04-27 06:21:00,site_214,SM3,Forest - Temperate,2,,,,,
SM303733_20210427_060106_5,2021-04-27 06:41:00,site_214,SM3,Forest - Temperate,1,,,,,
SM303733_20210427_070106_1,2021-04-27 07:01:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303733_20210427_070106_3,2021-04-27 07:21:00,site_214,SM3,Forest - Temperate,2,,,,,
SM303733_20210427_070106_5,2021-04-27 07:41:00,site_214,SM3,Forest - Temperate,1,,,,,
SM303733_20210427_080106_1,2021-04-27 08:01:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733_20210427_080106_3,2021-04-27 08:21:00,site_214,SM3,Forest - Temperate,2,,,,,
SM303733_20210427_080106_5,2021-04-27 08:41:00,site_214,SM3,Forest - Temperate,2,,,,,
SM303733__0__20210522_021800_1,2021-05-22 02:18:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733__0__20210522_021800_3,2021-05-22 02:38:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733__0__20210522_021800_5,2021-05-22 02:58:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733__0__20210522_031804_1,2021-05-22 03:18:00,site_214,SM3,Forest - Temperate,0,,,,,
SM303733__0__20210522_031804_3,2021-05-22 03:38:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303733__0__20210522_031804_5,2021-05-22 03:58:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_041804_1,2021-05-22 04:18:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_041804_3,2021-05-22 04:38:00,site_214,SM3,Forest - Temperate,6,,,,,
SM303733__0__20210522_041804_5,2021-05-22 04:58:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_051804_1,2021-05-22 05:18:00,site_214,SM3,Forest - Temperate,6,,,,,
SM303733__0__20210522_051804_3,2021-05-22 05:38:00,site_214,SM3,Forest - Temperate,5,,,,,
SM303733__0__20210522_051804_5,2021-05-22 05:58:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_061804_1,2021-05-22 06:18:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_061804_3,2021-05-22 06:38:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_061804_5,2021-05-22 06:58:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_071804_1,2021-05-22 07:18:00,site_214,SM3,Forest - Temperate,4,,,,,
SM303733__0__20210522_071804_3,2021-05-22 07:38:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303733__0__20210522_071804_5,2021-05-22 07:58:00,site_214,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210429_025700_1,2021-04-29 02:57:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210429_025700_3,2021-04-29 03:17:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210429_025700_5,2021-04-29 03:37:00,site_233,SM3,Forest - Temperate,1,,,,,
SM303734__0__20210429_035706_1,2021-04-29 03:57:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210429_035706_3,2021-04-29 04:17:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210429_035706_5,2021-04-29 04:37:00,site_233,SM3,Forest - Temperate,4,,,,,
SM303734__0__20210429_045706_1,2021-04-29 04:57:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210429_045706_3,2021-04-29 05:17:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210429_045706_5,2021-04-29 05:37:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210429_055706_1,2021-04-29 05:57:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210429_055706_3,2021-04-29 06:17:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210429_055706_5,2021-04-29 06:37:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210429_065706_1,2021-04-29 06:57:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210429_065706_3,2021-04-29 07:17:00,site_233,SM3,Forest - Temperate,1,,,,,
SM303734__0__20210429_065706_5,2021-04-29 07:37:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210429_075706_1,2021-04-29 07:57:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210429_075706_3,2021-04-29 08:17:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210429_075706_5,2021-04-29 08:37:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210525_021400_1,2021-05-25 02:14:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210525_021400_3,2021-05-25 02:34:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210525_021400_5,2021-05-25 02:54:00,site_233,SM3,Forest - Temperate,0,,,,,
SM303734__0__20210525_031404_1,2021-05-25 03:14:00,site_233,SM3,Forest - Temperate,1,,,,,
SM303734__0__20210525_031404_3,2021-05-25 03:34:00,site_233,SM3,Forest - Temperate,4,,,,,
SM303734__0__20210525_031404_5,2021-05-25 03:54:00,site_233,SM3,Forest - Temperate,6,,,,,
SM303734__0__20210525_041404_1,2021-05-25 04:14:00,site_233,SM3,Forest - Temperate,7,,,,,
SM303734__0__20210525_041404_3,2021-05-25 04:34:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210525_041404_5,2021-05-25 04:54:00,site_233,SM3,Forest - Temperate,4,,,,,
SM303734__0__20210525_051404_1,2021-05-25 05:14:00,site_233,SM3,Forest - Temperate,4,,,,,
SM303734__0__20210525_051404_3,2021-05-25 05:34:00,site_233,SM3,Forest - Temperate,5,,,,,
SM303734__0__20210525_051404_5,2021-05-25 05:54:00,site_233,SM3,Forest - Temperate,6,,,,,
SM303734__0__20210525_061404_1,2021-05-25 06:14:00,site_233,SM3,Forest - Temperate,5,,,,,
SM303734__0__20210525_061404_3,2021-05-25 06:34:00,site_233,SM3,Forest - Temperate,5,,,,,
SM303734__0__20210525_061404_5,2021-05-25 06:54:00,site_233,SM3,Forest - Temperate,3,,,,,
SM303734__0__20210525_071404_1,2021-05-25 07:14:00,site_233,SM3,Forest - Temperate,1,,,,,
SM303734__0__20210525_071404_3,2021-05-25 07:34:00,site_233,SM3,Forest - Temperate,2,,,,,
SM303734__0__20210525_071404_5,2021-05-25 07:54:00,site_233,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210429_025700_1,2021-04-29 02:57:00,site_231,SM3,Forest - Temperate,1,,,,,
SM300857__0__20210429_025700_3,2021-04-29 03:17:00,site_231,SM3,Forest - Temperate,0,,,,,
SM300857__0__20210429_025700_5,2021-04-29 03:37:00,site_231,SM3,Forest - Temperate,1,,,,,
SM300857__0__20210429_035706_1,2021-04-29 03:57:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_035706_3,2021-04-29 04:17:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_035706_5,2021-04-29 04:37:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_045706_1,2021-04-29 04:57:00,site_231,SM3,Forest - Temperate,5,,,,,
SM300857__0__20210429_045706_3,2021-04-29 05:17:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_045706_5,2021-04-29 05:37:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_055706_1,2021-04-29 05:57:00,site_231,SM3,Forest - Temperate,7,,,,,
SM300857__0__20210429_055706_3,2021-04-29 06:17:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_055706_5,2021-04-29 06:37:00,site_231,SM3,Forest - Temperate,2,,,,,
SM300857__0__20210429_065706_1,2021-04-29 06:57:00,site_231,SM3,Forest - Temperate,5,,,,,
SM300857__0__20210429_065706_3,2021-04-29 07:17:00,site_231,SM3,Forest - Temperate,5,,,,,
SM300857__0__20210429_065706_5,2021-04-29 07:37:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_075706_1,2021-04-29 07:57:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_075706_3,2021-04-29 08:17:00,site_231,SM3,Forest - Temperate,4,,,,,
SM300857__0__20210429_075706_5,2021-04-29 08:37:00,site_231,SM3,Forest - Temperate,3,,,,,
SM303718__0__20210524_021500_1,2021-05-24 02:15:00,site_231,SM3,Forest - Temperate,0,,,,,
SM303718__0__20210524_021500_3,2021-05-24 02:35:00,site_231,SM3,Forest - Temperate,1,,,,,
SM303718__0__20210524_021500_5,2021-05-24 02:55:00,site_231,SM3,Forest - Temperate,0,,,,,
SM303718__0__20210524_031504_1,2021-05-24 03:15:00,site_231,SM3,Forest - Temperate,2,,,,,
SM303718__0__20210524_031504_3,2021-05-24 03:35:00,site_231,SM3,Forest - Temperate,3,,,,,
