,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,date,site,LAT,LON,device_id,habitat,dataset,species_richness
BA-06_0_20150619_0401,3101.4166666666665,3.719733417492434e-11,7.047707520846325e-05,-2.7204251839573472,66.3850854169705,96.34123969973206,-46.37547129847554,7.7921999287436705,0.0047998364017295,0.7460243410420032,0.2612734662279853,1350.0,13.149521020820876,0.2279852912715308,0.0627364829723938,3.634717987804878,3.4927552120768395e-05,2.254244266858922e-08,15.233340208944345,253.61318994836057,2.0,37.83099843573635,-56.25180875602796,7.103407105043928,0.1858824098262009,0.0029259238689267,0.1058912593839009,0.0885467895006012,0.0131112467985083,3.1133497815641618,0.4410434819870833,298.8342625637744,-0.979700499495909,0.0102538240048229,0.0561273201321603,0.0005755196624975,7.58233868408166,0.0708059177907594,0.3501368183635838,0.858616352581565,0.1540102635068904,0.1725359766966653,0.1297896945860936,0.1472204830865273,760.541015625,7.156515872913016,0.0183108304297328,0.0532769519459848,0.2837567546360721,0.5268358299703895,0.2410121468688452,0.6419346679925427,1.8537523929404416,2665.0946755105115,0.5296440468974082,0.054412940191773,1.2560566891267786,9.003429878048781,0.1119474085365853,0.1386728023018911,2015-06-19 04:01:00,BA-06,50.87645999999999,-0.07574,SM2,Arable land,UK_Sussex_countryside,1.0
BA-13_0_20150621_0432,6544.50814362776,-1.164116117568224e-10,1.2668043591252391e-05,0.5312268587297885,36.44080749453203,88.88802231377518,-48.2589408608331,3.889562001085629,0.0038641409308034,0.8708444912835359,0.2097523219814241,1084.0,9.151299424615384,0.1826625386996904,0.0562041979184836,3.25060933568802,3.34214661743087e-05,5.991898310285051e-09,14.188466529784431,226.5849503579828,6.0,32.5901192948814,-59.765591808824105,5.37631101698512,0.3189986735893909,0.0024345363406521,0.3535097525955458,0.2870859711716216,0.0371442680687733,8.544759837455128,2.2510956440338576,297.62565359424906,-0.8986166668126859,0.0533985269167114,0.0155351774306401,0.0008295555901859,4.684189050762392,0.0214980040600385,0.5889254134920799,0.8371626026170326,0.1416065126889548,0.1401800194363862,0.1292329748627597,0.1343460452148248,694.166015625,6.331382826176451,0.0060370349090381,0.0502264523376148,0.1051181700171493,0.5268135415464457,0.2755522603653879,0.8762408627817635,2.774735466379116,10399.00120541846,0.6506765510617525,0.2645165667017138,1.22059190978629,25.004687197600155,0.1922129015869944,0.27779823762207584,2015-06-21 04:32:00,BA-13,50.87856,-0.069944,SM2,Arable land,UK_Sussex_countryside,3.0
BA-14_0_20150620_0630,5320.166666666667,9.033054414605959e-10,6.457889172905054e-06,-0.0062925002431279,3.332302060921566,85.96166684970979,-45.29059482047533,0.8522902705304389,0.0054383888768487,0.9778215834478696,0.1437971743758467,743.0,4.4078424347592975,0.0853493323011418,0.0336842105263157,2.5342987804878048,4.858555221198289e-05,9.423852735611068e-09,8.904726442268966,102.62471676494884,6.0,34.7851776271989,-55.57353966060846,3.3793172010869768,0.4808173250819454,0.2077033919874104,0.3267009056493322,0.2805232498165163,0.0885538738916946,8.787478141931736,2.4781851452487698,317.1730852460929,-0.5370306492917817,0.3012102269538613,0.0230990196838781,0.0069576609613926,17.38741360193256,0.0413765700490178,2.2947163039674066,0.0656016702255255,0.1472969744895017,0.1709521946250784,0.1260312143280844,0.144278319178281,745.341796875,16.99139176185109,0.0205996842334494,0.0476743935373039,0.2589703806372141,0.5886949525937023,0.3205792862838445,1.63164717671455,3.916005591977465,11465.327615818464,0.8478912171551235,0.2777544678579244,1.5654442399342976,108.04115853658536,2.8406135065814944,0.47015355816079696,2015-06-20 06:30:00,BA-14,50.877356,-0.067866,SM2,Arable land,UK_Sussex_countryside,3.0
BA-10_0_20150620_0515,6463.866666666667,8.30759540415904e-12,2.7150274503818705e-06,-0.0195431500165918,3.2483509250125504,82.19850322269501,-48.96857432190571,0.5727201406061724,0.0035609943442353,0.984661206593946,0.0855428682020514,442.0,4.195929855651041,0.0406425391910199,0.027089947089947,1.5005716463414631,2.8776802657350335e-05,2.963343940631965e-09,12.086466150366157,166.50659820175716,5.0,29.86015109345942,-58.87998541580351,1.760736422542557,0.4139027542487115,0.0015767236390004,0.3562647896062821,0.3063148609340897,0.0204313527691561,7.9781374739434545,1.9401207262236035,296.87691081975225,-0.8611512451317787,0.074603692328288,0.0079891821113249,0.0005960224841879,4.628106706649629,0.0114068245831226,2.301302175505808,0.02643493428808,0.1289280977916162,0.1296620643822939,0.1256349289427903,0.127323258444638,657.751953125,5.869434232971425,0.0027792144550909,0.0434444264274501,0.0481396330753115,0.5207900251998785,0.3065555137965183,1.260784537347344,3.4498665767322145,14868.899784615323,0.7691990378531706,0.3490101170247488,1.2057270763674612,17.006478658536587,0.1131950493612079,0.4075539854110937,2015-06-20 05:15:00,BA-10,50.87733,-0.07243,SM2,Arable land,UK_Sussex_countryside,4.0
BA-02_0_20150620_0417,8609.033333333333,-1.1530718315325755e-10,1.135236572837404e-06,-0.0060556148305393,3.1468268649678883,78.4116247129983,-52.15740314311729,0.5062415865459045,0.0024667767295909,0.9876743403220536,0.0708341397329204,366.0,3.9419978684986456,0.0270950261273466,0.0285157337788916,0.9503620426829268,2.2397631244218757e-05,9.72626121333585e-10,11.985706956840344,168.23806921201287,5.0,25.75789945579041,-63.080488016748376,1.8589873858184236,0.5247733224537683,0.0056470885231678,0.6766433223027298,0.5565538393576859,0.0231041534233905,7.486265014581761,1.9097174921361149,296.9907624583117,-0.7912866093310459,0.1165159107323969,0.002812070449377,0.0003276509494528,5.082054142848549,0.0044636110742191,2.301802852188017,0.0212661159197068,0.1295870709466973,0.1310119021740255,0.1269891117059546,0.1286881018921796,664.802734375,6.187198275486932,0.0030064363143631,0.0443444565397846,0.0540675175270752,0.5216381657045436,0.3151109127465115,1.4532451270115627,4.175182198332776,25277.030643895992,0.8251936695049561,0.5962316511201191,1.2099854028445058,17.006478658536587,0.0975050208091366,0.5183051450731379,2015-06-20 04:17:00,BA-02,50.87539,-0.08117,SM2,Arable land,UK_Sussex_countryside,4.0
BA-16_0_20150621_0645,4955.066666666667,-1.3251254267371418e-10,1.2734418630271374e-05,-0.0135388191683401,17.696970121385267,88.91055220097554,-46.8048870339133,3.0574552469180887,0.0045683108558982,0.9086427857059016,0.1956647958196245,1011.0,8.145776279987807,0.1571511515386104,0.0548098929494278,2.867759146341464,3.5241532410072786e-05,9.922415710631628e-09,12.762311533037195,182.00495662185097,5.0,34.5504463096015,-56.11215235003957,3.683198572920695,0.2979037063010017,0.0003197598536707,0.0314546588031756,0.0248186840830114,0.0111821858850379,3.002318085867897,0.2319144599950599,296.9021016748259,-0.9390009803488326,0.03145899371345,0.0254644396492587,0.0008010856468425,4.555029848523867,0.0342615334053198,1.2033680987573572,0.7064950396256883,0.1352665958270525,0.1423385318650742,0.1264607311922291,0.1330317823267518,687.2421875,5.873395901551216,0.005424969149245,0.0476890466328085,0.0980706598036287,0.5224232791066528,0.2901746273503423,1.0221294161159844,2.675152547723018,6544.852984130008,0.6907687064435335,0.1459778906984927,1.2148196632593309,0.0,0.0089603295586527,0.27068805356545494,2015-06-21 06:45:00,BA-16,50.87917,-0.06596,SM2,Arable land,UK_Sussex_countryside,0.0
BA-04_0_20150621_0545,3765.3166666666666,7.01631562524655e-11,1.0469249603098084e-05,-0.9173203205672028,25.47894879989109,88.0599165155259,-45.32510387392971,1.3244233736155095,0.0054168250141195,0.9469740171977664,0.1292819818076253,668.0,6.0315612524813496,0.072575962841107,0.0348299319727891,2.0841272865853657,3.870438285430368e-05,8.600241840946941e-09,11.13870988225104,143.98063531863338,11.0,34.11456995013887,-55.75481941947941,2.8899892828979006,0.3731236669823658,0.0985136015844376,0.4926333260360805,0.3426346830270889,0.0888530595649393,25.9407860225173,4.2309861962804245,301.07963036654724,-0.8378543906158492,0.0882254928421273,0.023153218473504,0.0020427041107063,15.173227141888002,0.0325961945197112,1.7500164338145698,0.5641723194361589,0.149418044332419,0.1624235799271667,0.1256781298652962,0.1410469294425087,728.6484375,11.204029505478829,0.0170578965834301,0.0534744023143395,0.2205694148755142,0.5337620110619401,0.3079203064290364,1.2869405387573098,3.1963114036999443,8828.495527020797,0.7686161072820838,0.156605473909485,1.304149151599997,88.03353658536585,1.9425389566395663,0.35333841783385256,2015-06-21 05:45:00,BA-04,50.8734,-0.0769,SM2,Arable land,UK_Sussex_countryside,5.0
BA-16_0_20150620_0530,6285.783333333333,1.588445434994217e-10,3.1265910047156846e-06,0.0402802962047848,4.558135147903796,82.81147171448181,-48.73219241773302,0.6871591746722174,0.0036592356561367,0.9802729620789538,0.0930907683375266,481.0,4.578413560339368,0.0505128701374104,0.0322362136343899,1.567263719512195,2.9116382965058662e-05,4.05221079993325e-09,12.68246744202948,179.67263118279595,4.0,30.97403794609832,-57.98808330923208,1.9827211686100128,0.359080534836677,0.0009026994471359,0.4715732281354325,0.3743890501013549,0.0107484779788425,4.767809460520227,0.8368871422308543,296.8760663635017,-0.888647770292285,0.05895870657263,0.0105748880136391,0.0006234817194345,3.655969502991002,0.0126716388022187,2.2728260706121297,0.1279724525178576,0.1306784952348003,0.1275886555657,0.12606112265905,0.1270631442363531,656.408203125,5.710453730032574,0.0020744864256678,0.0416691436685981,0.0393455187787391,0.5225617285150144,0.2984873937149381,1.1291031850639504,3.0814904097571505,11341.264277787506,0.7278013980330018,0.2870839884767066,1.2034156755970584,4.001524390243903,0.0603026398567557,0.3519969395092443,2015-06-20 05:30:00,BA-16,50.87917,-0.06596,SM2,Arable land,UK_Sussex_countryside,1.0
BA-15_0_20150620_0515,5519.3,-9.9061453070254e-11,3.8016581209087673e-06,0.0075964788620796,2.9873286874320586,83.66049156014913,-47.63704022566994,0.5864668626417995,0.0041509546506224,0.9835304198916328,0.0998645248693632,516.0,4.060355715014902,0.0474162957228565,0.0296296296296296,1.600609756097561,3.346155223250237e-05,5.045024905016013e-09,12.123946873399923,165.36557869964886,14.0,31.97121943483421,-57.079705861300425,2.0715252094142613,0.379176351083281,0.0469446895139893,0.4397465016713561,0.3542819377853644,0.0557119125323198,11.90683081742617,2.6171286338370843,299.158638812776,-0.8487097220165627,0.0818356046823893,0.0134920341294167,0.0011041287713762,7.237952969832684,0.0179337139055058,2.299875618847821,0.0374655293926379,0.1508183622869663,0.1501104506843387,0.126123431681895,0.1369928529084398,707.705078125,9.722454454949748,0.0132635561846689,0.0545116950842407,0.1688144237005006,0.540907245796356,0.3044144229862216,1.2223236359553151,3.223520997280372,11794.185102465244,0.7524790895948409,0.2494205091024367,1.2720554796102317,94.0358231707317,1.1537274970963995,0.37293147579391656,2015-06-20 05:15:00,BA-15,50.88053,-0.06845,SM2,Arable land,UK_Sussex_countryside,6.0
BA-14_0_20150619_0515,4904.433333333333,2.1965583804525635e-10,2.5157333861496195e-05,0.4854667095242951,84.24052824510485,91.86740710672302,-46.40885870589341,4.877192363839853,0.0047814218815517,0.7945892078701963,0.1875362879814205,969.0,10.932635130747263,0.1472808205922198,0.0529053457710429,2.7843940548780486,4.6447457796561074e-05,1.9955970488685108e-08,13.337284457395825,200.5785182964856,9.0,37.51864250675367,-55.34514321210488,5.884385632138176,0.2782378247775575,0.1600494776556359,0.5169914180869964,0.3778044306214155,0.036638936595513,6.137309351870134,1.8438281607023488,305.3134953573697,-0.8644192915802656,0.0727200737688234,0.0490435979890974,0.0035664540636556,8.391020594253783,0.0623720852583989,1.038817227437184,0.7610365886113641,0.1436396734788016,0.1708238358166622,0.1283599102085441,0.1450329528406891,749.240234375,13.1573740581302,0.0141595891405342,0.052002274282693,0.2178008974117785,0.5410644670847943,0.2789615734846589,0.906649045835285,2.52449946199864,5422.096084514982,0.6526815293753321,0.1412079800783089,1.3372572961823193,46.01753048780488,0.9371294884823848,0.22108477278952587,2015-06-19 05:15:00,BA-14,50.877356,-0.067866,SM2,Arable land,UK_Sussex_countryside,3.0
