indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
ZCR,0.22961574728955195,0.18,0.28,0.0,0.0,all_balanced,0.10484144347238196
MEANt,-0.035640256182250044,-0.09,0.01,0.16199999999999992,0.169,all_balanced,0.10484144347238196
VARt,-0.02486817922187656,-0.07,0.02,0.3460000000000001,0.333,all_balanced,0.10484144347238196
SKEWt,-0.014159089069554785,-0.07,0.04,0.5880000000000001,0.571,all_balanced,0.10484144347238196
KURTt,-0.03952959681041184,-0.09,0.01,0.1399999999999999,0.099,all_balanced,0.10484144347238196
LEQt,-0.024855984102157527,-0.07,0.02,0.3460000000000001,0.334,all_balanced,0.10484144347238196
BGNt,0.06177252793209162,0.01,0.11,0.006,0.018,all_balanced,0.10484144347238196
SNRt,-0.0320598505641952,-0.08,0.02,0.20999999999999996,0.193,all_balanced,0.10484144347238196
M,0.06177252793209162,0.01,0.11,0.006,0.018,all_balanced,0.10484144347238196
Ht,0.04986136180548148,0.0,0.1,0.046,0.048,all_balanced,0.10484144347238196
ACTtFraction,0.03922701751468311,-0.0,0.09,0.1,0.124,all_balanced,0.10484144347238196
ACTtCount,0.03917880442363903,-0.0,0.09,0.1,0.125,all_balanced,0.10484144347238196
ACTtMean,-0.052198200664482886,-0.1,-0.0,0.04200000000000004,0.037,all_balanced,0.10484144347238196
EVNtFraction,0.06555817403369713,0.02,0.11,0.012,0.005,all_balanced,0.10484144347238196
EVNtMean,0.11628066194913114,0.07,0.17,0.0,0.0,all_balanced,0.10484144347238196
EVNtCount,0.0281031514382292,-0.02,0.07,0.26,0.275,all_balanced,0.10484144347238196
MEANf,0.10719149659426382,0.06,0.15,0.0,0.0,all_balanced,0.10484144347238196
VARf,0.03865912971320031,-0.01,0.09,0.098,0.118,all_balanced,0.10484144347238196
SKEWf,-0.33436175950761066,-0.38,-0.29,0.0,0.0,all_balanced,0.10484144347238196
KURTf,-0.3531963795562382,-0.39,-0.31,0.0,0.0,all_balanced,0.10484144347238196
NP,0.39085552876207036,0.35,0.43,0.0,0.0,all_balanced,0.10484144347238196
LEQf,0.0433711151799098,-0.0,0.09,0.064,0.081,all_balanced,0.10484144347238196
BGNf,0.01215085656401369,-0.04,0.06,0.584,0.612,all_balanced,0.10484144347238196
SNRf,0.1538444016767154,0.11,0.2,0.0,0.0,all_balanced,0.10484144347238196
Hf,0.23888716606282176,0.19,0.29,0.0,0.0,all_balanced,0.10484144347238196
H,0.2468905386768994,0.2,0.29,0.0,0.0,all_balanced,0.10484144347238196
