indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
ZCR,0.16870093878315018,0.12,0.21,0.0,0.0,all_balanced,0.11545428803505708
MEANt,-0.021731212813756815,-0.08,0.03,0.44399999999999995,0.404,all_balanced,0.11545428803505708
VARt,-0.008774982223241306,-0.06,0.04,0.802,0.749,all_balanced,0.11545428803505708
SKEWt,-0.020114696251671404,-0.07,0.03,0.44999999999999996,0.462,all_balanced,0.11545428803505708
KURTt,-0.009212842997617635,-0.06,0.04,0.732,0.734,all_balanced,0.11545428803505708
LEQt,-0.008744783045658849,-0.06,0.04,0.806,0.749,all_balanced,0.11545428803505708
BGNt,0.08120380804731767,0.03,0.13,0.0,0.006,all_balanced,0.11545428803505708
SNRt,0.0013470290814781133,-0.05,0.05,0.952,0.969,all_balanced,0.11545428803505708
M,0.08120380804731767,0.03,0.13,0.0,0.006,all_balanced,0.11545428803505708
Ht,0.009073313348815734,-0.04,0.06,0.74,0.751,all_balanced,0.11545428803505708
ACTtFraction,0.05396687625686084,0.01,0.1,0.026,0.053,all_balanced,0.11545428803505708
ACTtCount,0.053889848258371585,0.0,0.1,0.026,0.053,all_balanced,0.11545428803505708
ACTtMean,-0.015471629079979038,-0.07,0.04,0.5900000000000001,0.593,all_balanced,0.11545428803505708
EVNtFraction,0.0733516631622145,0.02,0.12,0.006,0.01,all_balanced,0.11545428803505708
EVNtMean,0.11589033615370518,0.06,0.17,0.0,0.0,all_balanced,0.11545428803505708
EVNtCount,0.04525743491494187,-0.0,0.1,0.072,0.094,all_balanced,0.11545428803505708
MEANf,0.12257977460848594,0.08,0.17,0.0,0.0,all_balanced,0.11545428803505708
VARf,0.06544166530043719,0.02,0.12,0.006,0.017,all_balanced,0.11545428803505708
SKEWf,-0.2925764836747675,-0.33,-0.24,0.0,0.0,all_balanced,0.11545428803505708
KURTf,-0.3130770817825111,-0.35,-0.27,0.0,0.0,all_balanced,0.11545428803505708
NP,0.49332736760874935,0.45,0.53,0.0,0.0,all_balanced,0.11545428803505708
LEQf,0.06408750008753758,0.02,0.12,0.006,0.021,all_balanced,0.11545428803505708
BGNf,0.03179547510551571,-0.02,0.08,0.184,0.247,all_balanced,0.11545428803505708
SNRf,0.1704897264865152,0.12,0.22,0.0,0.0,all_balanced,0.11545428803505708
Hf,0.1756374553647427,0.12,0.22,0.0,0.0,all_balanced,0.11545428803505708
H,0.17269597807703224,0.12,0.22,0.0,0.0,all_balanced,0.11545428803505708
EAS,0.522140511454267,0.48,0.56,0.0,0.0,all_balanced,0.11545428803505708
ECU,0.320227219583046,0.27,0.38,0.0,0.0,all_balanced,0.11545428803505708
ECV,0.2707590794027538,0.22,0.33,0.0,0.0,all_balanced,0.11545428803505708
EPS,0.5735434975827296,0.54,0.61,0.0,0.0,all_balanced,0.11545428803505708
EPS_KURT,-0.06873292460404083,-0.13,-0.01,0.03400000000000003,0.005,all_balanced,0.11545428803505708
EPS_SKEW,-0.032698964894200926,-0.09,0.03,0.26,0.208,all_balanced,0.11545428803505708
ACI,0.18651448646638694,0.14,0.24,0.0,0.0,all_balanced,0.11545428803505708
NDSI,0.3748252316952742,0.33,0.41,0.0,0.0,all_balanced,0.11545428803505708
rBA,0.3748252316952742,0.33,0.41,0.0,0.0,all_balanced,0.11545428803505708
AnthroEnergy,-0.10726388221962904,-0.16,-0.06,0.0,0.0,all_balanced,0.11545428803505708
BioEnergy,0.3205908869058867,0.27,0.36,0.0,0.0,all_balanced,0.11545428803505708
BIO,0.540614234581676,0.51,0.57,0.0,0.0,all_balanced,0.11545428803505708
ROU,0.07252751382118983,0.02,0.12,0.004,0.01,all_balanced,0.11545428803505708
ADI,-0.10081365979733764,-0.15,-0.05,0.0020000000000000018,0.0,all_balanced,0.11545428803505708
AEI,0.09982397617643295,0.05,0.15,0.002,0.0,all_balanced,0.11545428803505708
LFC,0.30573883302412963,0.26,0.35,0.0,0.0,all_balanced,0.11545428803505708
MFC,0.5436136309071057,0.5,0.58,0.0,0.0,all_balanced,0.11545428803505708
HFC,-0.07512900925613417,-0.13,-0.02,0.006000000000000005,0.005,all_balanced,0.11545428803505708
ACTspFract,0.4644180633170552,0.42,0.51,0.0,0.0,all_balanced,0.11545428803505708
ACTspCount,0.4643288023242752,0.42,0.51,0.0,0.0,all_balanced,0.11545428803505708
ACTspMean,0.5101597491969143,0.47,0.55,0.0,0.0,all_balanced,0.11545428803505708
EVNspFract,0.5246796865180704,0.48,0.56,0.0,0.0,all_balanced,0.11545428803505708
EVNspMean,0.39435714150689416,0.35,0.44,0.0,0.0,all_balanced,0.11545428803505708
EVNspCount,0.5027960194415695,0.46,0.55,0.0,0.0,all_balanced,0.11545428803505708
TFSD,0.44111123238560723,0.4,0.48,0.0,0.0,all_balanced,0.11545428803505708
H_Havrda,0.2729644455052401,0.23,0.32,0.0,0.0,all_balanced,0.11545428803505708
H_Renyi,0.2729644455052401,0.23,0.32,0.0,0.0,all_balanced,0.11545428803505708
H_pairedShannon,0.17884587287124576,0.13,0.23,0.0,0.0,all_balanced,0.11545428803505708
H_gamma,0.049927791556903404,-0.0,0.1,0.066,0.068,all_balanced,0.11545428803505708
H_GiniSimpson,0.2513253400644117,0.2,0.29,0.0,0.0,all_balanced,0.11545428803505708
RAOQ,0.017692442556770042,-0.03,0.07,0.534,0.503,all_balanced,0.11545428803505708
AGI,0.4935004575153163,0.45,0.53,0.0,0.0,all_balanced,0.11545428803505708
nROI,0.702512794787779,0.67,0.73,0.0,0.0,all_balanced,0.11545428803505708
aROI,0.6241859259478963,0.59,0.66,0.0,0.0,all_balanced,0.11545428803505708
ZCR,0.20285438660847788,0.18,0.23,0.0,0.0,all_unbalanced,0.05578967990756505
MEANt,0.00018217075648744183,-0.03,0.03,0.968,0.991,all_unbalanced,0.05578967990756505
VARt,0.04979645285161429,0.02,0.07,0.0,0.001,all_unbalanced,0.05578967990756505
SKEWt,-0.0009944994185775375,-0.03,0.03,0.984,0.944,all_unbalanced,0.05578967990756505
KURTt,0.10085864970347302,0.07,0.13,0.0,0.0,all_unbalanced,0.05578967990756505
LEQt,0.04971753105599952,0.02,0.07,0.0,0.001,all_unbalanced,0.05578967990756505
BGNt,0.10541485300020223,0.08,0.13,0.0,0.0,all_unbalanced,0.05578967990756505
SNRt,0.1024866051467606,0.07,0.13,0.0,0.0,all_unbalanced,0.05578967990756505
M,0.10541485300020223,0.08,0.13,0.0,0.0,all_unbalanced,0.05578967990756505
Ht,-0.08604481782567998,-0.11,-0.06,0.0,0.0,all_unbalanced,0.05578967990756505
ACTtFraction,0.14188728704340836,0.12,0.17,0.0,0.0,all_unbalanced,0.05578967990756505
ACTtCount,0.14184320204597636,0.12,0.17,0.0,0.0,all_unbalanced,0.05578967990756505
ACTtMean,0.0867653761750006,0.06,0.11,0.0,0.0,all_unbalanced,0.05578967990756505
EVNtFraction,0.17633599839646744,0.15,0.2,0.0,0.0,all_unbalanced,0.05578967990756505
EVNtMean,0.22907889080045427,0.2,0.25,0.0,0.0,all_unbalanced,0.05578967990756505
EVNtCount,0.1093305941380585,0.08,0.14,0.0,0.0,all_unbalanced,0.05578967990756505
MEANf,0.19266595671243894,0.17,0.22,0.0,0.0,all_unbalanced,0.05578967990756505
VARf,0.09188093077129093,0.07,0.12,0.0,0.0,all_unbalanced,0.05578967990756505
SKEWf,-0.32798666901840207,-0.35,-0.3,0.0,0.0,all_unbalanced,0.05578967990756505
KURTf,-0.33353602321647735,-0.36,-0.31,0.0,0.0,all_unbalanced,0.05578967990756505
