indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
ZCR,0.08904869264637694,0.04,0.14,0.0,0.0,all_balanced,0.10425824462733016
MEANt,0.022957200371906746,-0.03,0.07,0.384,0.382,all_balanced,0.10425824462733016
VARt,0.030690014525137296,-0.02,0.08,0.23,0.266,all_balanced,0.10425824462733016
SKEWt,-0.024028499215809084,-0.08,0.03,0.4059999999999999,0.363,all_balanced,0.10425824462733016
KURTt,0.062141835726325916,0.01,0.12,0.038,0.03,all_balanced,0.10425824462733016
LEQt,0.030317717598012342,-0.02,0.08,0.232,0.273,all_balanced,0.10425824462733016
BGNt,0.074054246666747,0.02,0.12,0.004,0.012,all_balanced,0.10425824462733016
SNRt,0.10416476998684132,0.05,0.16,0.0,0.0,all_balanced,0.10425824462733016
M,0.074054246666747,0.02,0.12,0.004,0.012,all_balanced,0.10425824462733016
Ht,-0.09247053783027837,-0.15,-0.04,0.0020000000000000018,0.001,all_balanced,0.10425824462733016
ACTtFraction,0.1510917139333513,0.1,0.21,0.0,0.0,all_balanced,0.10425824462733016
ACTtCount,0.15104853421367828,0.1,0.21,0.0,0.0,all_balanced,0.10425824462733016
ACTtMean,0.07488536207021895,0.02,0.13,0.012,0.007,all_balanced,0.10425824462733016
EVNtFraction,0.17412673319491545,0.12,0.23,0.0,0.0,all_balanced,0.10425824462733016
EVNtMean,0.18697737929815497,0.14,0.24,0.0,0.0,all_balanced,0.10425824462733016
EVNtCount,0.15499979303899655,0.1,0.21,0.0,0.0,all_balanced,0.10425824462733016
MEANf,0.13901424798893064,0.09,0.19,0.0,0.0,all_balanced,0.10425824462733016
VARf,0.08034808222472994,0.03,0.14,0.002,0.003,all_balanced,0.10425824462733016
SKEWf,-0.2546973352598662,-0.31,-0.21,0.0,0.0,all_balanced,0.10425824462733016
KURTf,-0.26600354642747503,-0.32,-0.22,0.0,0.0,all_balanced,0.10425824462733016
NP,0.5316691642372465,0.49,0.57,0.0,0.0,all_balanced,0.10425824462733016
LEQf,0.07937070714443656,0.03,0.13,0.004,0.006,all_balanced,0.10425824462733016
BGNf,0.009582335242039644,-0.04,0.06,0.71,0.727,all_balanced,0.10425824462733016
SNRf,0.23540726437276588,0.18,0.29,0.0,0.0,all_balanced,0.10425824462733016
Hf,0.1688791247254564,0.12,0.23,0.0,0.0,all_balanced,0.10425824462733016
H,0.15303188672198842,0.1,0.21,0.0,0.0,all_balanced,0.10425824462733016
EAS,0.5296791130644625,0.49,0.57,0.0,0.0,all_balanced,0.10425824462733016
ECU,0.24849998988332136,0.19,0.3,0.0,0.0,all_balanced,0.10425824462733016
ECV,0.21093447426894182,0.16,0.27,0.0,0.0,all_balanced,0.10425824462733016
EPS,0.4963600945716663,0.45,0.54,0.0,0.0,all_balanced,0.10425824462733016
EPS_KURT,-0.20339928617012085,-0.27,-0.15,0.0,0.0,all_balanced,0.10425824462733016
